"","type","h","rho","Vinf","Vstall","a","Clmax","Cl","Cd","ClCd","theta","t","Eeng","Wb100","R","duration","Eduration","Rduration","PA","t_total","Eeng_total","R_total","Wb84_total","Vb"
"1","Take-off Ground Roll",0,1.225,1e-05,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,0,0,0,0,0,0,0,360000,0,0,0,0,0
"2","Take-off Ground Roll",0,1.225,0.890423743579527,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,0.00720314226950816,2593.13121702294,0.00259313121702294,0.00320696046828704,0.00720314226950816,2593.13121702294,0.00320696046828704,360000,0.00720314226950816,2593.13121702294,0.00320696046828704,0.00324141402127867,1.1786960077377e-06
"3","Take-off Ground Roll",0,1.225,1.78083748715905,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,0.0289043039309618,10405.5494151462,0.0104055494151462,0.0321916963724028,0.0217011616614536,7812.4181981233,0.0289847359041157,360000,0.0289043039309618,10405.5494151462,0.0321916963724028,0.0130069367689328,4.72979518870284e-06
"4","Take-off Ground Roll",0,1.225,2.67125123073858,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,0.0652894974965176,23504.2190987464,0.0235042190987464,0.113186751258269,0.0363851935655559,13098.6696836001,0.0809950548858664,360000,0.0652894974965176,23504.2190987464,0.113186751258269,0.0293802738734329,1.06837359539756e-05
"5","Take-off Ground Roll",0,1.225,3.56166497431811,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,0.11654867083398,41957.5215002328,0.0419575215002328,0.272933817334709,0.0512591733374623,18453.3024014864,0.159747066076439,360000,0.11654867083398,41957.5215002328,0.272933817334709,0.052446901875291,1.9071600681924e-05
"6","Take-off Ground Roll",0,1.225,4.45207871789763,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,0.182875986254996,65835.3550517984,0.0658353550517984,0.538698870123092,0.0663273154210156,23877.8335515656,0.265765052788384,360000,0.182875986254996,65835.3550517984,0.538698870123092,0.082294193814748,2.99251613871811e-05
"7","Take-off Ground Roll",0,1.225,5.34249246147716,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,0.264470114621942,95209.2412638991,0.0952092412638991,0.938288619177642,0.0815941283669463,29373.8862121007,0.39958974905455,360000,0.264470114621942,95209.2412638991,0.938288619177642,0.119011551579874,4.32769278472269e-05
"8","Take-off Ground Roll",0,1.225,6.23290620505669,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,0.361534545365114,130152.436331441,0.130152436331441,1.50006836027384,0.0970644307431726,34943.1950675421,0.561779741096194,360000,0.361534545365114,130152.436331441,1.50006836027384,0.162690545414302,5.91601983324733e-05
"9","Take-off Ground Roll",0,1.225,7.12331994863621,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,0.474277913377995,170740.048816078,0.170740048816078,2.25298132052836,0.11274336801288,40587.6124846368,0.752912960254526,360000,0.474277913377995,170740.048816078,2.25298132052836,0.213425061020098,7.76091130982173e-05
"10","Take-off Ground Roll",0,1.225,8.01373369221574,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,0.602914343841677,217049.163783004,0.217049163783004,3.2265695945766,0.128636430463682,46309.1149669256,0.97358827404824,360000,0.602914343841677,217049.163783004,3.2265695945766,0.271311454728755,9.86587108104562e-05
"11","Take-off Ground Roll",0,1.225,8.90414743579527,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,0.747663816120707,269158.973803454,0.269158973803454,4.45099677725608,0.14474947227903,52109.8100204507,1.22442718267948,360000,0.747663816120707,269158.973803454,4.45099677725608,0.336448717254318,0.000122344988092479
"12","Take-off Ground Roll",0,1.225,9.79456117937479,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,0.908752547972422,327150.917270072,0.327150917270072,5.95707240629732,0.161088731851715,57991.9434666174,1.50607562904124,360000,0.908752547972422,327150.917270072,5.95707240629732,0.40893864658759,0.000148704962395487
"13","Take-off Ground Roll",0,1.225,10.6849749229543,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,1.08641340142131,391108.824511673,0.391108824511673,7.77627833738591,0.177660853448892,63957.9072416011,1.81920593108859,360000,1.08641340142131,391108.824511673,7.77627833738591,0.488886030639591,0.000177776738414397
"14","Take-off Ground Roll",0,1.225,11.5753886665338,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,1.28088631176999,461119.072237195,0.461119072237195,9.94079718371961,0.194472910348673,70010.2477255224,2.1645188463337,360000,1.28088631176999,461119.072237195,9.94079718371961,0.576398840296494,0.000209599578289634
"15","Take-off Ground Roll",0,1.225,12.4658024101134,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,1.49241874135009,537270.746886033,0.537270746886033,12.483542962941,0.211532429580104,76151.6746488374,2.54274577922135,360000,1.49241874135009,537270.746886033,12.483542962941,0.671588433607541,0.000244213975857288
"16","Take-off Ground Roll",0,1.225,13.3562161536929,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,1.72126615976146,619655.817514127,0.619655817514127,15.4381941061898,0.228847418411373,82385.0706280944,2.95465114324881,360000,1.72126615976146,619655.817514127,15.4381941061898,0.774569771892659,0.000281661735233694
"17","Take-off Ground Roll",0,1.225,14.2466298972724,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,1.96769255250713,708369.318902566,0.708369318902566,18.8392289971164,0.246426392745664,88713.501388439,3.40103489092664,360000,1.96769255250713,708369.318902566,18.8392289971164,0.885461648628208,0.000321986054046621
"18","Take-off Ground Roll",0,1.225,15.137043640852,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,2.23197096010728,803509.54563862,0.80350954563862,22.7219642231655,0.264278407600149,95140.2267360537,3.88273522604908,360000,2.23197096010728,803509.54563862,22.7219642231655,1.00438693204827,0.000365231611653918
"19","Take-off Ground Roll",0,1.225,16.0274573844315,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,2.51438404996898,905178.257988834,0.905178257988834,27.1225957374398,0.282413089861706,101668.712350214,4.4006315142743,360000,2.51438404996898,905178.257988834,27.1225957374398,1.13147282248604,0.000411444662722197
"20","Take-off Ground Roll",0,1.225,16.917871128011,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,2.81522472350197,1013480.90046071,1.01348090046071,32.0782431471641,0.300840673532986,108302.642471875,4.95564740972434,360000,2.81522472350197,1013480.90046071,32.0782431471641,1.26685112557589,0.000460673136573049
"21","Take-off Ground Roll",0,1.225,17.8082848715905,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,3.13479676120695,1128526.8340345,1.1285268340345,37.6269973643909,0.319572037704976,115045.933573791,5.54875421722678,360000,3.13479676120695,1128526.8340345,37.6269973643909,1.41065854254313,0.000512966742742955
"22","Take-off Ground Roll",0,1.225,18.6986986151701,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,3.47341550872433,1250429.58314076,1.25042958314076,43.8079718763534,0.338618747517389,121902.74910626,6.18097451196245,360000,3.47341550872433,1250429.58314076,43.8079718763534,1.56303697892595,0.0005683770832458
"23","Take-off Ground Roll",0,1.225,19.5891123587496,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,3.83140860712072,1379307.09856346,1.37930709856346,50.6613579170376,0.357993098396384,128877.515422698,6.85338604068429,360000,3.83140860712072,1379307.09856346,50.6613579170376,1.72413387320432,0.000626957772074299
"24","Take-off Ground Roll",0,1.225,20.4795261023291,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,4.20911677101168,1515282.0375642,1.5152820375642,58.22848384841,0.377708163890961,135974.939000746,7.56712593137238,360000,4.20911677101168,1515282.0375642,58.22848384841,1.89410254695526,0.000688764562529184
"25","Take-off Ground Roll",0,1.225,21.3699398459086,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,4.60689461847659,1658482.06265157,1.65848206265157,66.551879089633,0.397777847464906,143200.025087366,8.32339524122294,360000,4.60689461847659,1658482.06265157,66.551879089633,2.07310257831446,0.000753855483023441
"26","Take-off Ground Roll",0,1.225,22.2603535894882,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,5.02511155711812,1809040.16056252,1.80904016056252,75.6753429659247,0.418216938641535,150558.097910953,9.12346387629176,360000,5.02511155711812,1809040.16056252,75.6753429659247,2.26130020070315,0.000822290982073874
"27","Take-off Ground Roll",0,1.225,23.1507673330677,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,5.46415273106191,1967094.98318229,1.96709498318229,85.6440188858959,0.439041173943792,158054.822619765,9.96867591997122,360000,5.46415273106191,1967094.98318229,85.6440188858959,2.45886872897786,0.000894134083264677
"28","Take-off Ground Roll",0,1.225,24.0411810766472,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,5.92442003418552,2132791.21230679,2.13279121230679,96.5044742977399,0.460267303123607,165696.229124498,10.8604554118439,360000,5.92442003418552,2132791.21230679,96.5044742977399,2.66598901538348,0.000969450551048539
"29","Take-off Ground Roll",0,1.225,24.9315948202267,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,6.40633319541813,2306279.95035053,2.30627995035053,108.304786921139,0.481913161232606,173488.738043738,11.8003126233993,360000,6.40633319541813,2306279.95035053,108.304786921139,2.88284993793816,0.00104830906834115
"30","Take-off Ground Roll",0,1.225,25.8220085638063,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,6.91033094257038,2487719.13932534,2.48771913932534,121.094637803845,0.503997747152254,181439.188974812,12.7898508827058,360000,6.91033094257038,2487719.13932534,121.094637803845,3.10964892415667,0.00113078142696606
"31","Take-off Ground Roll",0,1.225,26.7124223073858,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,7.43687225184687,2677274.01066487,2.67727401066487,134.925411810351,0.526541309276486,189554.871339535,13.8307740065063,360000,7.43687225184687,2677274.01066487,134.925411810351,3.34659251333109,0.0012169427321204
"32","Take-off Ground Roll",0,1.225,27.6028360509653,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,7.98643769097225,2875117.56875001,2.87511756875001,149.850306215809,0.549565439125379,197843.558085137,14.9248944054578,360000,7.98643769097225,2875117.56875001,149.850306215809,3.59389696093751,0.00130687162215909
"33","Take-off Ground Roll",0,1.225,28.4932497945449,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,8.55953086473814,3081431.11130573,3.08143111130573,165.924448152333,0.57309317376589,206313.542555721,16.0741419365236,360000,8.55953086473814,3081431.11130573,165.924448152333,3.85178888913216,0.00140065050513897
"34","Take-off Ground Roll",0,1.225,29.3836635381244,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,9.15667997276542,3296404.79019555,3.29640479019555,183.20502173832,0.597149108027279,214973.67888982,17.2805735859878,360000,9.15667997276542,3296404.79019555,183.20502173832,4.12050598774444,0.00149836581372525
"35","Take-off Ground Roll",0,1.225,30.2740772817039,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,9.7784394903918,3520238.21654105,3.52023821654105,201.751405815729,0.621759517626383,223833.426345498,18.5463840774081,360000,9.7784394903918,3520238.21654105,201.751405815729,4.40029777067631,0.00160010828024593
"36","Take-off Ground Roll",0,1.225,31.1644910252834,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,10.4253919848567,3753141.1145484,3.7531411145484,221.625323327006,0.646952494464857,232902.898007348,19.8739175112775,360000,10.4253919848567,3753141.1145484,221.625323327006,4.69142639318549,0.00170597323388563
"37","Take-off Ground Roll",0,1.225,32.054904768863,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,11.0981500803858,3995334.02893888,3.99533402893888,242.891003484492,0.672758095529125,242192.914390485,21.265680157486,360000,11.0981500803858,3995334.02893888,242.891003484492,4.9941675361736,0.00181606092224495
"38","Take-off Ground Roll",0,1.225,32.9453185124425,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,11.7973585874041,4247049.09146549,4.24704909146549,265.615358022683,0.69920850701836,251715.06252661,22.7243545381908,360000,11.7973585874041,4247049.09146549,265.615358022683,5.30881136433186,0.00193047685975704
"39","Take-off Ground Roll",0,1.225,33.835732256022,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,12.5236968129553,4508530.85266392,4.50853085266392,289.868172980488,0.726338225551196,261481.761198431,24.2528149578054,360000,12.5236968129553,4508530.85266392,289.868172980488,5.6356635658299,0.00204933220575633
"40","Take-off Ground Roll",0,1.225,34.7261459996015,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,13.2778810715173,4780037.18574623,4.78003718574623,315.722317639405,0.75418425856197,271506.333082309,25.8541446589168,360000,13.2778810715173,4780037.18574623,315.722317639405,5.97504648218279,0.0021727441753392
"41","Take-off Ground Roll",0,1.225,35.6165597431811,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,14.0606674178181,5061840.27041453,5.06184027041453,343.253972448059,0.78278634630083,281803.084668299,27.5316548086536,360000,14.0606674178181,5061840.27041453,343.253972448059,6.32730033801816,0.00230083648655206
"42","Take-off Ground Roll",0,1.225,36.5069734867606,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,14.8728546260222,5354227.66536799,5.35422766536799,372.542877997979,0.812187208204072,292387.394953466,29.28890554992,360000,14.8728546260222,5354227.66536799,372.542877997979,6.69278458170999,0.00243373984789454
"43","Take-off Ground Roll",0,1.225,37.3973872303401,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,15.7152874428353,5657503.47942069,5.65750347942069,403.672607384816,0.842432816813045,303275.814052696,31.1297293868373,360000,15.7152874428353,5657503.47942069,403.672607384816,7.07187934927586,0.00257159249064577
"44","Take-off Ground Roll",0,1.225,38.2878009739197,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,16.5888601457373,5971989.65246542,5.97198965246542,436.730864599438,0.873572702902033,314486.173044732,33.0582572146221,360000,16.5888601457373,5971989.65246542,436.730864599438,7.46498706558178,0.00271454075112065
"45","Take-off Ground Roll",0,1.225,39.1782147174992,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,17.4945204417785,6298027.35904026,6.29802735904026,471.80981195155,0.905660296041204,326037.706574834,35.0789473521115,360000,17.4945204417785,6298027.35904026,471.80981195155,7.87253419880032,0.00286273970865466
"46","Take-off Ground Roll",0,1.225,40.0686284610787,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,18.4332737472654,6635978.54901556,6.63597854901556,509.006429943198,0.938753305486955,337951.189975304,37.1966179916482,360000,18.4332737472654,6635978.54901556,509.006429943198,8.29497318626945,0.00301635388591616
"47","Take-off Ground Roll",0,1.225,40.9590422046582,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,19.4061878943447,6986227.64196409,6.98622764196409,548.422913490984,0.972914147079241,350249.092948527,39.4164835477865,360000,19.4061878943447,6986227.64196409,548.422913490984,8.73278455245511,0.00317555801907458
"48","Take-off Ground Roll",0,1.225,41.8494559482378,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,20.414398317102,7349183.39415671,7.34918339415671,590.167108956298,1.00821042275729,362955.752192623,41.7441954653136,360000,20.414398317102,7349183.39415671,590.167108956298,9.18647924269589,0.00334053790643487
"49","Take-off Ground Roll",0,1.225,42.7398696918173,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,21.4591137775153,7725280.95990552,7.72528095990552,634.352997097351,1.04471546041336,376097.565748811,44.1858881410531,360000,21.4591137775153,7725280.95990552,634.352997097351,9.6566011998819,0.0035114913454116
"50","Take-off Ground Roll",0,1.225,43.6302834353968,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,22.5416227006415,8114984.17223094,8.11498417223094,681.101227823342,1.08250892312617,389703.212325422,46.7482307259915,360000,22.5416227006415,8114984.17223094,681.101227823342,10.1437302152887,0.00368862916919588
"51","Take-off Transition",0,1.225,45.6134781370057,39.6638940321789,340.3,2.7,2.04158790170132,0.1699981,12.0094748217852,1.16199579185425,0,0,0,0,0,0,0,360000,22.5416227006415,8114984.17223094,681.101227823342,10.1437302152887,0.00368862916919588
"52","Take-off Transition",0.87252252750981,1.225,45.6134781370057,39.6638940321789,340.3,2.7,2.04158790170132,0.1699981,12.0094748217852,1.16199579185425,0.943259760993321,339573.513957596,0.339573513957596,43.0165105192435,0.943259760993321,339573.513957596,43.0165105192435,360000,23.4848824616348,8454557.68618854,724.117738342586,10.5681971077357,0.00384298076644934
"53","Segment 1 - Climb",0.87252252750981,1.225,45.6134781370057,39.6638940321789,340.3,2.7,2.04158790170132,0.1699981,12.0094748217852,2.32399158370862,0,0,0,0,0,0,0,360000,23.4848824616348,8454557.68618854,724.117738342586,10.5681971077357,0.00384298076644934
"54","Segment 1 - Climb",10.668,1.225,45.6134781370057,39.6638940321789,340.3,2.7,2.04158790170132,0.1699981,12.0094748217852,2.32399158370862,5.29589777710442,1906523.19975759,1.90652319975759,241.365631556541,5.29589777710442,1906523.19975759,241.365631556541,360000,28.7807802387392,10361080.8859461,965.483369899127,12.9513511074327,0.0047095822208846
"55","2nd Segment Climb",10.668,1.22374586207442,47.6210559676612,39.6842133063844,340.259051705008,2.7,1.8699354105078,0.084548536361078,22.1167094190956,4.21047101008573,0,0,0,0,0,0,0,359741.966275252,28.7807802387392,10361080.8859461,965.483369899127,12.9513511074327,0.0047095822208846
"56","2nd Segment Climb",23.0293333333333,1.22229388343339,47.6493324054175,39.7077770045146,340.211597516503,2.7,1.86995880068595,0.0845502762744676,22.1165309338041,4.20072468740947,3.53852664218873,1272427.80930292,1.27242780930292,168.104529095292,3.53852664218873,1272427.80930292,168.104529095292,359443.128522209,32.319306880928,11633508.6952491,1133.58789899442,14.5418858690613,0.00528795849784048
